player_name,position,nationality,club,league
Keylor Navas,Goalkeeper,Costa Rica,Fc Paris Saint Germain,ligue-1
Alexandre Letellier,Goalkeeper,France,Fc Paris Saint Germain,ligue-1
Gianluigi Donnarumma,Goalkeeper,Italy,Fc Paris Saint Germain,ligue-1
Abdou Diallo,Defender,Senegal,Fc Paris Saint Germain,ligue-1
Garissone Innocent,Goalkeeper,Haiti,Fc Paris Saint Germain,ligue-1
Mohamed Bayo,Attack,Guinea,Clermont Foot 63,ligue-1
Jodel Dossou,Attack,Benin,Clermont Foot 63,ligue-1
Jim Allevinah,Attack,Gabon,Clermont Foot 63,ligue-1
Grejohn Kyei,Attack,France,Clermont Foot 63,ligue-1
Pierre Yves Hamel,Attack,France,Clermont Foot 63,ligue-1
Nael Jaby,Attack,France,Clermont Foot 63,ligue-1
Lucas Da Cunha,Attack,France,Clermont Foot 63,ligue-1
Saif Eddine Khaoui,Attack,Tunisia,Clermont Foot 63,ligue-1
Fred Gnalega,Midfield,Cote d'Ivoire,Clermont Foot 63,ligue-1
Oriol Busquets,Midfield,Spain,Clermont Foot 63,ligue-1
Yohann Magnin,Midfield,France,Clermont Foot 63,ligue-1
Johan Gastien,Midfield,France,Clermont Foot 63,ligue-1
Elbasan Rashani,Attack,Kosovo,Clermont Foot 63,ligue-1
Jerome Phojo,Defender,France,Clermont Foot 63,ligue-1
Salis Abdul Samed,Midfield,Ghana,Clermont Foot 63,ligue-1
Akim Zedadka,Defender,Algeria,Clermont Foot 63,ligue-1
Arial Mendy,Defender,Senegal,Clermont Foot 63,ligue-1
Vital Nsimba,Defender,DR Congo,Clermont Foot 63,ligue-1
Florent Ogier,Defender,France,Clermont Foot 63,ligue-1
Josue Albert,Defender,French Guiana,Clermont Foot 63,ligue-1
Alidu Seidu,Defender,Ghana,Clermont Foot 63,ligue-1
Lucas Margueron,Goalkeeper,France,Clermont Foot 63,ligue-1
Jean Claude Billong,Defender,Cameroon,Clermont Foot 63,ligue-1
Arthur Desmas,Goalkeeper,France,Clermont Foot 63,ligue-1
Cedric Hountondji,Defender,Benin,Clermont Foot 63,ligue-1
Ouparine Djoco,Goalkeeper,France,Clermont Foot 63,ligue-1
Jason Berthomier,Attack,France,Clermont Foot 63,ligue-1
Nicolas De Preville,Attack,France,Fc Metz,ligue-1
Louis Mafouta,Attack,Central African Republic,Fc Metz,ligue-1
Papa Ndiaga Yade,Attack,Senegal,Fc Metz,ligue-1
Ibrahima Niane,Attack,Senegal,Fc Metz,ligue-1
Lenny Joseph,Attack,France,Fc Metz,ligue-1
Amine Bassi,Attack,Morocco,Fc Metz,ligue-1
Opa Nguette,Attack,Senegal,Fc Metz,ligue-1
Farid Boulaya,Attack,Algeria,Fc Metz,ligue-1
Didier Lamkel Ze,Attack,Cameroon,Fc Metz,ligue-1
Boubacar Traore,Midfield,Mali,Fc Metz,ligue-1
Pape Matar Sarr,Midfield,Senegal,Fc Metz,ligue-1
Amadou Salif Mbengue,Midfield,Senegal,Fc Metz,ligue-1
Kevin Ndoram,Midfield,France,Fc Metz,ligue-1
Vincent Pajot,Midfield,France,Fc Metz,ligue-1
William Mikelbrencis,Defender,France,Fc Metz,ligue-1
Fabien Centonze,Defender,France,Fc Metz,ligue-1
Manuel Cabit,Defender,Martinique,Fc Metz,ligue-1
Fali Cande,Defender,Guinea-Bissau,Fc Metz,ligue-1
Habib Maiga,Midfield,Cote d'Ivoire,Fc Metz,ligue-1
Ibrahim Amadou,Midfield,France,Fc Metz,ligue-1
Thomas Delaine,Defender,France,Fc Metz,ligue-1
Matthieu Udol,Defender,France,Fc Metz,ligue-1
Jean Armel Kana Biyik,Defender,Cameroon,Fc Metz,ligue-1
Sikou Niakate,Defender,France,Fc Metz,ligue-1
David Oberhauser,Goalkeeper,France,Fc Metz,ligue-1
Kiki Kouyate,Defender,Mali,Fc Metz,ligue-1
Lenny Lacroix,Defender,France,Fc Metz,ligue-1
Alexandre Oukidja,Goalkeeper,Algeria,Fc Metz,ligue-1
Marc Aurele Caillard,Goalkeeper,France,Fc Metz,ligue-1
Dylan Bronn,Defender,Tunisia,Fc Metz,ligue-1
Ousmane Ba,Goalkeeper,Senegal,Fc Metz,ligue-1
Yoann Touzghar,Attack,Tunisia,Es Troyes Ac,ligue-1
Lebo Mothiba,Attack,South Africa,Es Troyes Ac,ligue-1
Hyun Jun Suk,Attack,"Korea, South",Es Troyes Ac,ligue-1
Nassim Chadli,Attack,Morocco,Es Troyes Ac,ligue-1
Ike Ugbo,Attack,Canada,Es Troyes Ac,ligue-1
Mama Balde,Attack,Guinea-Bissau,Es Troyes Ac,ligue-1
Dylan Chambost,Attack,France,Es Troyes Ac,ligue-1
Karim Azamoum,Midfield,France,Es Troyes Ac,ligue-1
Renaud Ripart,Attack,France,Es Troyes Ac,ligue-1
Brandon Domingues,Midfield,France,Es Troyes Ac,ligue-1
Tristan Dingome,Midfield,Cameroon,Es Troyes Ac,ligue-1
Luka Ilic,Attack,Serbia,Es Troyes Ac,ligue-1
Metinho,Midfield,Brazil,Es Troyes Ac,ligue-1
Rominigue Kouame,Midfield,Mali,Es Troyes Ac,ligue-1
Benrandy Abdallah,Defender,France,Es Troyes Ac,ligue-1
Florian Tardieu,Midfield,France,Es Troyes Ac,ligue-1
Oualid El Hajjam,Defender,Morocco,Es Troyes Ac,ligue-1
Issa Kabore,Defender,Burkina Faso,Es Troyes Ac,ligue-1
Youssouf Kone,Defender,Mali,Es Troyes Ac,ligue-1
Giulian Biancone,Defender,France,Es Troyes Ac,ligue-1
Abdu Conte,Defender,Portugal,Es Troyes Ac,ligue-1
Adil Rami,Defender,France,Es Troyes Ac,ligue-1
Yasser Larouci,Defender,France,Es Troyes Ac,ligue-1
Jessy Moulin,Goalkeeper,France,Es Troyes Ac,ligue-1
Tanguy Zoukrou,Defender,France,Es Troyes Ac,ligue-1
Yoann Salmier,Defender,French Guiana,Es Troyes Ac,ligue-1
Sebastien Renot,Goalkeeper,France,Es Troyes Ac,ligue-1
Erik Palmer Brown,Defender,United States,Es Troyes Ac,ligue-1
Gauthier Gallon,Goalkeeper,France,Es Troyes Ac,ligue-1
Ryan Bouallak,Goalkeeper,France,Es Troyes Ac,ligue-1
Xavier Chavalerin,Midfield,France,Es Troyes Ac,ligue-1
Sambou Soumano,Attack,Senegal,Fc Lorient,ligue-1
Terem Moffi,Attack,Nigeria,Fc Lorient,ligue-1
Ibrahima Kone,Attack,Mali,Fc Lorient,ligue-1
Dango Ouattara,Attack,Burkina Faso,Fc Lorient,ligue-1
Stephane Diarra,Attack,Cote d'Ivoire,Fc Lorient,ligue-1
Quentin Boisgard,Attack,France,Fc Lorient,ligue-1
Armand Lauriente,Attack,France,Fc Lorient,ligue-1
Enzo Le Fee,Attack,France,Fc Lorient,ligue-1
Redwan Bourles,Midfield,France,Fc Lorient,ligue-1
Thomas Monconduit,Midfield,France,Fc Lorient,ligue-1
Bonke Innocent,Midfield,Nigeria,Fc Lorient,ligue-1
Fabien Lemoine,Midfield,France,Fc Lorient,ligue-1
Jerome Hergault,Defender,France,Fc Lorient,ligue-1
Laurent Abergel,Midfield,France,Fc Lorient,ligue-1
Theo Le Bris,Defender,France,Fc Lorient,ligue-1
Igor Silva,Defender,Brazil,Fc Lorient,ligue-1
Samuel Loric,Defender,France,Fc Lorient,ligue-1
Houboulang Mendes,Defender,Guinea-Bissau,Fc Lorient,ligue-1
Leo Petrot,Defender,France,Fc Lorient,ligue-1
Jeremy Morel,Defender,Madagascar,Fc Lorient,ligue-1
Moritz Jenz,Defender,Germany,Fc Lorient,ligue-1
Vincent Le Goff,Defender,France,Fc Lorient,ligue-1
Julien Laporte,Defender,France,Fc Lorient,ligue-1
Thomas Callens,Goalkeeper,France,Fc Lorient,ligue-1
Teddy Bartouche,Goalkeeper,France,Fc Lorient,ligue-1
Paul Nardi,Goalkeeper,France,Fc Lorient,ligue-1
Matthieu Dreyer,Goalkeeper,France,Fc Lorient,ligue-1
Stephane Bahoken,Attack,Cameroon,Sco Angers,ligue-1
Mohamed Ali Cho,Attack,France,Sco Angers,ligue-1
Noah Fatar,Attack,France,Sco Angers,ligue-1
Marin Jakolis,Attack,Croatia,Sco Angers,ligue-1
Casimir Ninga,Attack,Chad,Sco Angers,ligue-1
Jason Mbock,Attack,France,Sco Angers,ligue-1
Pierrick Capelle,Midfield,France,Sco Angers,ligue-1
Souleyman Doumbia,Midfield,Cote d'Ivoire,Sco Angers,ligue-1
Mathias Pereira Lage,Midfield,France,Sco Angers,ligue-1
Jimmy Cabot,Midfield,France,Sco Angers,ligue-1
Thomas Mangani,Midfield,France,Sco Angers,ligue-1
Azzedine Ounahi,Midfield,Morocco,Sco Angers,ligue-1
Nabil Bentaleb,Midfield,Algeria,Sco Angers,ligue-1
Zinedine Ould Khaled,Midfield,France,Sco Angers,ligue-1
Batista Mendy,Midfield,France,Sco Angers,ligue-1
Abdoulaye Bamba,Defender,Cote d'Ivoire,Sco Angers,ligue-1
Sofiane Boufal,Attack,Morocco,Sco Angers,ligue-1
Waniss Taibi,Attack,France,Sco Angers,ligue-1
Vincent Manceau,Defender,France,Sco Angers,ligue-1
Romain Thomas,Defender,France,Sco Angers,ligue-1
Enzo Ebosse,Defender,Cameroon,Sco Angers,ligue-1
Danijel Petkovic,Goalkeeper,Montenegro,Sco Angers,ligue-1
Ismael Traore,Defender,Cote d'Ivoire,Sco Angers,ligue-1
Angelo Fulgini,Attack,France,Sco Angers,ligue-1
Kevin Boma,Defender,Togo,Sco Angers,ligue-1
Anthony Mandrea,Goalkeeper,Algeria,Sco Angers,ligue-1
Jimmy Briand,Attack,France,Fc Girondins Bordeaux,ligue-1
Sekou Mara,Attack,France,Fc Girondins Bordeaux,ligue-1
Mbaye Niang,Attack,Senegal,Fc Girondins Bordeaux,ligue-1
Ui Jo Hwang,Attack,"Korea, South",Fc Girondins Bordeaux,ligue-1
Amadou Traore,Attack,Guinea,Fc Girondins Bordeaux,ligue-1
Dilane Bakwa,Attack,France,Fc Girondins Bordeaux,ligue-1
Yacine Adli,Attack,France,Fc Girondins Bordeaux,ligue-1
Issouf Sissokho,Midfield,Mali,Fc Girondins Bordeaux,ligue-1
Tom Lacoux,Midfield,France,Fc Girondins Bordeaux,ligue-1
Remi Oudin,Attack,France,Fc Girondins Bordeaux,ligue-1
Danylo Ignatenko,Midfield,Ukraine,Fc Girondins Bordeaux,ligue-1
Jean Onana,Midfield,Cameroon,Fc Girondins Bordeaux,ligue-1
Enock Kwateng,Defender,Ghana,Fc Girondins Bordeaux,ligue-1
Ricardo Mangas,Defender,Portugal,Fc Girondins Bordeaux,ligue-1
Gideon Mensah,Defender,Ghana,Fc Girondins Bordeaux,ligue-1
Mehdi Zerkane,Attack,Algeria,Fc Girondins Bordeaux,ligue-1
Javairo Dilrosun,Attack,Netherlands,Fc Girondins Bordeaux,ligue-1
Paul Baysse,Defender,France,Fc Girondins Bordeaux,ligue-1
Mexer,Defender,Mozambique,Fc Girondins Bordeaux,ligue-1
Stian Gregersen,Defender,Norway,Fc Girondins Bordeaux,ligue-1
Anel Ahmedhodzic,Defender,Bosnia-Herzegovina,Fc Girondins Bordeaux,ligue-1
Tidiane Malbec,Goalkeeper,France,Fc Girondins Bordeaux,ligue-1
Davy Rouyard,Goalkeeper,Guadeloupe,Fc Girondins Bordeaux,ligue-1
Gaetan Poussin,Goalkeeper,France,Fc Girondins Bordeaux,ligue-1
Josuha Guilavogui,Midfield,France,Fc Girondins Bordeaux,ligue-1
Fransergio,Midfield,Brazil,Fc Girondins Bordeaux,ligue-1
Benoit Costil,Goalkeeper,France,Fc Girondins Bordeaux,ligue-1
Alberth Elis,Attack,Honduras,Fc Girondins Bordeaux,ligue-1
Marcelo,Defender,Brazil,Fc Girondins Bordeaux,ligue-1
Timothee Pembele,Defender,France,Fc Girondins Bordeaux,ligue-1
Abdel Medioub,Defender,Algeria,Fc Girondins Bordeaux,ligue-1
Irvin Cardona,Attack,France,Stade Brest 29,ligue-1
Martin Satriano,Attack,Uruguay,Stade Brest 29,ligue-1
Franck Honorat,Attack,France,Stade Brest 29,ligue-1
Youcef Belaili,Attack,Algeria,Stade Brest 29,ligue-1
Jeremy Le Douaron,Attack,France,Stade Brest 29,ligue-1
Hiangaa Mbock,Midfield,France,Stade Brest 29,ligue-1
Steve Mounie,Attack,Benin,Stade Brest 29,ligue-1
Haris Belkebla,Midfield,Algeria,Stade Brest 29,ligue-1
Paul Lasne,Midfield,France,Stade Brest 29,ligue-1
Lucien Agoume,Midfield,France,Stade Brest 29,ligue-1
Rafiki Said,Attack,Comoros,Stade Brest 29,ligue-1
Ronael Pierre Gabriel,Defender,France,Stade Brest 29,ligue-1
Noe Sow,Defender,France,Stade Brest 29,ligue-1
Denys Bain,Defender,France,Stade Brest 29,ligue-1
Christophe Herelle,Defender,Martinique,Stade Brest 29,ligue-1
Lilian Brassier,Defender,France,Stade Brest 29,ligue-1
Jean Kevin Duverne,Defender,France,Stade Brest 29,ligue-1
Brendan Chardonnet,Defender,France,Stade Brest 29,ligue-1
Gregoire Coudert,Goalkeeper,France,Stade Brest 29,ligue-1
Sebastien Cibois,Goalkeeper,France,Stade Brest 29,ligue-1
Gautier Larsonneur,Goalkeeper,France,Stade Brest 29,ligue-1
Hugo Magnetti,Midfield,France,Stade Brest 29,ligue-1
Marco Bizot,Goalkeeper,Netherlands,Stade Brest 29,ligue-1
Romain Del Castillo,Attack,France,Stade Brest 29,ligue-1
Jere Uronen,Defender,Finland,Stade Brest 29,ligue-1
Julien Faussurier,Defender,France,Stade Brest 29,ligue-1
Wahbi Khazri,Attack,Tunisia,As Saint Etienne,ligue-1
Sada Thioub,Attack,Senegal,As Saint Etienne,ligue-1
Bakary Sako,Attack,Mali,As Saint Etienne,ligue-1
Romain Hamouma,Attack,France,As Saint Etienne,ligue-1
Maxence Rivera,Attack,France,As Saint Etienne,ligue-1
Enzo Crivelli,Attack,France,As Saint Etienne,ligue-1
Arnaud Nordin,Attack,France,As Saint Etienne,ligue-1
Denis Bouanga,Attack,Gabon,As Saint Etienne,ligue-1
Bilal Benkhedim,Attack,Algeria,As Saint Etienne,ligue-1
Adil Aouchiche,Attack,France,As Saint Etienne,ligue-1
Mahdi Camara,Midfield,France,As Saint Etienne,ligue-1
Yvan Neyou,Midfield,Cameroon,As Saint Etienne,ligue-1
Zaydou Youssouf,Midfield,France,As Saint Etienne,ligue-1
Yvann Macon,Defender,France,As Saint Etienne,ligue-1
Gabriel Silva,Defender,Brazil,As Saint Etienne,ligue-1
Miguel Trauco,Defender,Peru,As Saint Etienne,ligue-1
Eliaquim Mangala,Defender,France,As Saint Etienne,ligue-1
Timothee Kolodziejczak,Defender,France,As Saint Etienne,ligue-1
Mickael Nade,Defender,France,As Saint Etienne,ligue-1
Saidou Sow,Defender,Guinea,As Saint Etienne,ligue-1
Aimen Moueffek,Midfield,France,As Saint Etienne,ligue-1
Boubacar Fall,Goalkeeper,Senegal,As Saint Etienne,ligue-1
Paul Bernardoni,Goalkeeper,France,As Saint Etienne,ligue-1
Etienne Green,Goalkeeper,England,As Saint Etienne,ligue-1
Assane Diousse,Midfield,Senegal,As Saint Etienne,ligue-1
Lucas Gourna Douath,Midfield,France,As Saint Etienne,ligue-1
Ryad Boudebouz,Attack,Algeria,As Saint Etienne,ligue-1
Harold Moukoudi,Defender,Cameroon,As Saint Etienne,ligue-1
Falaye Sacko,Defender,Mali,As Saint Etienne,ligue-1
Burak Yilmaz,Attack,Turkey,Losc Lille,ligue-1
Jonathan David,Attack,Canada,Losc Lille,ligue-1
Edon Zhegrova,Attack,Kosovo,Losc Lille,ligue-1
Jonathan Bamba,Attack,France,Losc Lille,ligue-1
Hatem Ben Arfa,Attack,France,Losc Lille,ligue-1
Angel Gomes,Attack,England,Losc Lille,ligue-1
Xeka,Midfield,Portugal,Losc Lille,ligue-1
Renato Sanches,Midfield,Portugal,Losc Lille,ligue-1
Amadou Onana,Midfield,Belgium,Losc Lille,ligue-1
Isaac Lihadji,Attack,France,Losc Lille,ligue-1
Jeremy Pied,Defender,France,Losc Lille,ligue-1
Zeki Celik,Defender,Turkey,Losc Lille,ligue-1
Domagoj Bradaric,Defender,Croatia,Losc Lille,ligue-1
Gabriel Gudmundsson,Defender,Sweden,Losc Lille,ligue-1
Jose Fonte,Defender,Portugal,Losc Lille,ligue-1
Tiago Djalo,Defender,Portugal,Losc Lille,ligue-1
Sven Botman,Defender,Netherlands,Losc Lille,ligue-1
Adam Jakubech,Goalkeeper,Slovakia,Losc Lille,ligue-1
Orestis Karnezis,Goalkeeper,Greece,Losc Lille,ligue-1
Ivo Grbic,Goalkeeper,Croatia,Losc Lille,ligue-1
Leo Jardim,Goalkeeper,Brazil,Losc Lille,ligue-1
Timothy Weah,Attack,United States,Losc Lille,ligue-1
Benjamin Andre,Midfield,France,Losc Lille,ligue-1
Jean Kevin Augustin,Attack,France,Fc Nantes,ligue-1
Kalifa Coulibaly,Attack,Mali,Fc Nantes,ligue-1
Willem Geubbels,Attack,France,Fc Nantes,ligue-1
Moses Simon,Attack,Nigeria,Fc Nantes,ligue-1
Marcus Coco,Attack,France,Fc Nantes,ligue-1
Gor Manvelyan,Attack,France,Fc Nantes,ligue-1
Ludovic Blas,Attack,France,Fc Nantes,ligue-1
Samuel Moutoussamy,Midfield,DR Congo,Fc Nantes,ligue-1
Wylan Cyprien,Midfield,France,Fc Nantes,ligue-1
Pedro Chirivella,Midfield,Spain,Fc Nantes,ligue-1
Sebastien Corchia,Defender,France,Fc Nantes,ligue-1
Fabio,Defender,Brazil,Fc Nantes,ligue-1
Dennis Appiah,Defender,France,Fc Nantes,ligue-1
Charles Traore,Defender,Mali,Fc Nantes,ligue-1
Quentin Merlin,Defender,France,Fc Nantes,ligue-1
Abdoulaye Sylla,Defender,Guinea,Fc Nantes,ligue-1
Jean Charles Castelletto,Defender,Cameroon,Fc Nantes,ligue-1
Roli Pereira De Sa,Attack,France,Fc Nantes,ligue-1
Randal Kolo Muani,Attack,France,Fc Nantes,ligue-1
Andrei Girotto,Defender,Brazil,Fc Nantes,ligue-1
Osman Bukari,Attack,Ghana,Fc Nantes,ligue-1
Remy Descamps,Goalkeeper,France,Fc Nantes,ligue-1
Alban Lafont,Goalkeeper,France,Fc Nantes,ligue-1
Nicolas Pallois,Defender,France,Fc Nantes,ligue-1
Denis Petric,Goalkeeper,Slovenia,Fc Nantes,ligue-1
Cedric Bakambu,Attack,DR Congo,Olympique Marseille,ligue-1
Bamba Dieng,Attack,Senegal,Olympique Marseille,ligue-1
Arkadiusz Milik,Attack,Poland,Olympique Marseille,ligue-1
Cengiz Under,Attack,Turkey,Olympique Marseille,ligue-1
Salim Ben Seghir,Attack,France,Olympique Marseille,ligue-1
Ugo Bertelli,Attack,France,Olympique Marseille,ligue-1
Amine Harit,Attack,Morocco,Olympique Marseille,ligue-1
Dimitri Payet,Attack,France,Olympique Marseille,ligue-1
Bilal Nadir,Midfield,France,Olympique Marseille,ligue-1
Oussama Targhalline,Midfield,Morocco,Olympique Marseille,ligue-1
Gerson,Midfield,Brazil,Olympique Marseille,ligue-1
Paolo Sciortino,Midfield,France,Olympique Marseille,ligue-1
Pape Gueye,Midfield,Senegal,Olympique Marseille,ligue-1
Luis Henrique,Attack,Brazil,Olympique Marseille,ligue-1
Sead Kolasinac,Defender,Bosnia-Herzegovina,Olympique Marseille,ligue-1
Alvaro Gonzalez,Defender,Spain,Olympique Marseille,ligue-1
Boubacar Kamara,Midfield,France,Olympique Marseille,ligue-1
Leonardo Balerdi,Defender,Argentina,Olympique Marseille,ligue-1
Duje Caleta Car,Defender,Croatia,Olympique Marseille,ligue-1
Simon Ngapandouetnbu,Goalkeeper,France,Olympique Marseille,ligue-1
Valentin Rongier,Midfield,France,Olympique Marseille,ligue-1
Pau Lopez,Goalkeeper,Spain,Olympique Marseille,ligue-1
Matteo Guendouzi,Midfield,France,Olympique Marseille,ligue-1
Steve Mandanda,Goalkeeper,France,Olympique Marseille,ligue-1
William Saliba,Defender,France,Olympique Marseille,ligue-1
Konrad De La Fuente,Attack,United States,Olympique Marseille,ligue-1
Luan Peres,Defender,Brazil,Olympique Marseille,ligue-1
Pol Lirola,Defender,Spain,Olympique Marseille,ligue-1
Jeremy Doku,Attack,Belgium,Fc Stade Rennes,ligue-1
Mathys Tel,Attack,France,Fc Stade Rennes,ligue-1
Loum Tchaouna,Attack,France,Fc Stade Rennes,ligue-1
Gaetan Laborde,Attack,France,Fc Stade Rennes,ligue-1
Martin Terrier,Attack,France,Fc Stade Rennes,ligue-1
Kamaldeen Sulemana,Attack,Ghana,Fc Stade Rennes,ligue-1
Serhou Guirassy,Attack,Guinea,Fc Stade Rennes,ligue-1
Flavien Tait,Midfield,France,Fc Stade Rennes,ligue-1
Jonas Martin,Midfield,France,Fc Stade Rennes,ligue-1
Lesley Ugochukwu,Midfield,France,Fc Stade Rennes,ligue-1
Lorenz Assignon,Defender,France,Fc Stade Rennes,ligue-1
Hamari Traore,Defender,Mali,Fc Stade Rennes,ligue-1
Adrien Truffert,Defender,France,Fc Stade Rennes,ligue-1
Jeremy Gelin,Defender,France,Fc Stade Rennes,ligue-1
Warmed Omari,Defender,France,Fc Stade Rennes,ligue-1
Lovro Majer,Attack,Croatia,Fc Stade Rennes,ligue-1
Andy Diouf,Midfield,France,Fc Stade Rennes,ligue-1
Benjamin Bourigeaud,Midfield,France,Fc Stade Rennes,ligue-1
Baptiste Santamaria,Midfield,France,Fc Stade Rennes,ligue-1
Romain Salin,Goalkeeper,France,Fc Stade Rennes,ligue-1
Dogan Alemdar,Goalkeeper,Turkey,Fc Stade Rennes,ligue-1
Alfred Gomis,Goalkeeper,Senegal,Fc Stade Rennes,ligue-1
Loic Bade,Defender,France,Fc Stade Rennes,ligue-1
Nayef Aguerd,Defender,Morocco,Fc Stade Rennes,ligue-1
Pepe Bonet,Goalkeeper,DR Congo,Fc Stade Rennes,ligue-1
Birger Meling,Defender,Norway,Fc Stade Rennes,ligue-1
Eric Ayiah,Attack,Ghana,As Monaco,ligue-1
Myron Boadu,Attack,Netherlands,As Monaco,ligue-1
Wissam Ben Yedder,Attack,France,As Monaco,ligue-1
Kevin Volland,Attack,Germany,As Monaco,ligue-1
Krepin Diatta,Attack,Senegal,As Monaco,ligue-1
Gelson Martins,Attack,Portugal,As Monaco,ligue-1
Sofiane Diop,Attack,France,As Monaco,ligue-1
Maghnes Akliouche,Attack,France,As Monaco,ligue-1
Aleksandr Golovin,Attack,Russia,As Monaco,ligue-1
Cesc Fabregas,Midfield,Spain,As Monaco,ligue-1
Eliot Matazo,Midfield,Belgium,As Monaco,ligue-1
Jean Lucas,Midfield,Brazil,As Monaco,ligue-1
Youssouf Fofana,Midfield,France,As Monaco,ligue-1
Pele,Midfield,Guinea-Bissau,As Monaco,ligue-1
Djibril Sidibe,Defender,France,As Monaco,ligue-1
Aurelien Tchouameni,Midfield,France,As Monaco,ligue-1
Ruben Aguilar,Defender,France,As Monaco,ligue-1
Vanderson,Defender,Brazil,As Monaco,ligue-1
Caio Henrique,Defender,Brazil,As Monaco,ligue-1
Jean Marcelin,Defender,France,As Monaco,ligue-1
Chrislain Matsima,Defender,France,As Monaco,ligue-1
Guillermo Maripan,Defender,Chile,As Monaco,ligue-1
Axel Disasi,Defender,France,As Monaco,ligue-1
Benoit Badiashile,Defender,France,As Monaco,ligue-1
Vito Mannone,Goalkeeper,Italy,As Monaco,ligue-1
Radoslaw Majecki,Goalkeeper,Poland,As Monaco,ligue-1
Alexander Nubel,Goalkeeper,Germany,As Monaco,ligue-1
Felix Lemarechal,Midfield,France,As Monaco,ligue-1
Ismail Jakobs,Defender,Germany,As Monaco,ligue-1
Ibrahima Balde,Attack,France,Rc Lens,ligue-1
Florian Sotoca,Attack,France,Rc Lens,ligue-1
Ignatius Ganago,Attack,Cameroon,Rc Lens,ligue-1
Arnaud Kalimuendo,Attack,France,Rc Lens,ligue-1
Wesley Said,Attack,France,Rc Lens,ligue-1
David Costa,Attack,Portugal,Rc Lens,ligue-1
Gael Kakuta,Attack,DR Congo,Rc Lens,ligue-1
Przemyslaw Frankowski,Midfield,Poland,Rc Lens,ligue-1
Mamadou Camara,Midfield,Senegal,Rc Lens,ligue-1
Seko Fofana,Midfield,Cote d'Ivoire,Rc Lens,ligue-1
Patrick Berg,Midfield,Norway,Rc Lens,ligue-1
Cheick Doucoure,Midfield,Mali,Rc Lens,ligue-1
Deiver Machado,Defender,Colombia,Rc Lens,ligue-1
Christopher Wooh,Defender,Cameroon,Rc Lens,ligue-1
Jonathan Gradit,Defender,France,Rc Lens,ligue-1
Kevin Danso,Defender,Austria,Rc Lens,ligue-1
Facundo Medina,Defender,Argentina,Rc Lens,ligue-1
Yannick Cahuzac,Midfield,France,Rc Lens,ligue-1
Corentin Jean,Attack,France,Rc Lens,ligue-1
Jonathan Clauss,Defender,France,Rc Lens,ligue-1
Massadio Haidara,Defender,Mali,Rc Lens,ligue-1
Wuilker Farinez,Goalkeeper,Venezuela,Rc Lens,ligue-1
Jean Louis Leca,Goalkeeper,France,Rc Lens,ligue-1
Yanis Guermouche,Attack,Algeria,Montpellier Hsc,ligue-1
Beni Makouana,Attack,Congo,Montpellier Hsc,ligue-1
Nicholas Gioacchini,Attack,United States,Montpellier Hsc,ligue-1
Valere Germain,Attack,France,Montpellier Hsc,ligue-1
Elye Wahi,Attack,France,Montpellier Hsc,ligue-1
Florent Mollet,Attack,France,Montpellier Hsc,ligue-1
Remy Cabella,Attack,France,Montpellier Hsc,ligue-1
Leo Leroy,Midfield,France,Montpellier Hsc,ligue-1
Jordan Ferri,Midfield,France,Montpellier Hsc,ligue-1
Teji Savanier,Midfield,France,Montpellier Hsc,ligue-1
Gabriel Bares,Midfield,Switzerland,Montpellier Hsc,ligue-1
Joris Chotard,Midfield,France,Montpellier Hsc,ligue-1
Junior Sambia,Defender,France,Montpellier Hsc,ligue-1
Thibault Tamas,Defender,France,Montpellier Hsc,ligue-1
Ambroise Oyongo,Defender,Cameroon,Montpellier Hsc,ligue-1
Nicolas Cozza,Defender,France,Montpellier Hsc,ligue-1
Thuler,Defender,Brazil,Montpellier Hsc,ligue-1
Pedro Mendes,Defender,Portugal,Montpellier Hsc,ligue-1
Mihailo Ristic,Defender,Serbia,Montpellier Hsc,ligue-1
Mamadou Sakho,Defender,France,Montpellier Hsc,ligue-1
Matis Carvalho,Goalkeeper,Portugal,Montpellier Hsc,ligue-1
Dimitry Bertaud,Goalkeeper,France,Montpellier Hsc,ligue-1
Jonas Omlin,Goalkeeper,Switzerland,Montpellier Hsc,ligue-1
Arnaud Souquet,Defender,France,Montpellier Hsc,ligue-1
Stephy Mavididi,Attack,England,Montpellier Hsc,ligue-1
Maxime Esteve,Defender,France,Montpellier Hsc,ligue-1
Sinaly Diomande,Defender,Cote d'Ivoire,Olympique Lyon,ligue-1
Jason Denayer,Defender,Belgium,Olympique Lyon,ligue-1
Malcolm Barcola,Goalkeeper,Togo,Olympique Lyon,ligue-1
Julian Pollersbeck,Goalkeeper,Germany,Olympique Lyon,ligue-1
Anthony Lopes,Goalkeeper,Portugal,Olympique Lyon,ligue-1
Tino Kadewere,Attack,Zimbabwe,Olympique Lyon,ligue-1
Castello Lukeba,Defender,France,Olympique Lyon,ligue-1
Moussa Dembele,Attack,France,Olympique Lyon,ligue-1
Rayan Cherki,Attack,France,Olympique Lyon,ligue-1
Tete,Attack,Brazil,Olympique Lyon,ligue-1
Bradley Barcola,Attack,France,Olympique Lyon,ligue-1
Karl Toko Ekambi,Attack,Cameroon,Olympique Lyon,ligue-1
Jeff Reine Adelaide,Attack,France,Olympique Lyon,ligue-1
